Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"PI, TTLCONS, CPIAUCSL, PCESV, REVOLSL, SP500",0.747174995212551,0.7437037136822886,4.4480743145123925e-127,4439.932209493241,4468.6029814302665,"const: 40.3817, PI: -0.0005, TTLCONS: 0.0000, CPIAUCSL: -0.0638, PCESV: 0.0024, REVOLSL: 0.0875, SP500: 0.0201"
"PI, TTLCONS, CPIAUCSL, PCESV, REVOLSL, DJIA",0.7432871565289407,0.7397624950625189,1.2353586053489626e-125,4446.707894093407,4475.378666030432,"const: 48.4357, PI: 0.0015, TTLCONS: 0.0000, CPIAUCSL: -0.1858, PCESV: 0.0024, REVOLSL: 0.0745, DJIA: 0.0020"
"PI, TTLCONS, CPIAUCSL, PCESV, SP500, DJIA",0.7417126296342733,0.738166349949618,4.679562557937446e-125,4449.422813818326,4478.093585755351,"const: 36.5684, PI: 0.0006, TTLCONS: 0.0000, CPIAUCSL: -0.0158, PCESV: 0.0074, SP500: 0.0591, DJIA: -0.0056"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM",0.7658533421160376,0.7626385138613379,2.43463647338778e-134,4405.855250965539,4434.526022902564,"const: 19.6248, PI: 0.0065, TTLCONS: 0.0001, CPIAUCSL: -0.7661, RSAFS: -0.0003, PPIACO: 1.0301, NASDAQCOM: 0.0044"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, REVOLSL",0.7649660405690143,0.7617390296843783,5.550767358377954e-134,4407.534614272603,4436.205386209628,"const: 76.7297, PI: 0.0149, TTLCONS: 0.0001, CPIAUCSL: -1.7794, RSAFS: -0.0003, PPIACO: 1.2000, REVOLSL: 0.0574"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, SP500",0.7655070099015695,0.7622874265134904,3.3596885033997795e-134,4406.511497324034,4435.182269261059,"const: 9.2645, PI: 0.0043, TTLCONS: 0.0001, CPIAUCSL: -0.6307, RSAFS: -0.0003, PPIACO: 1.0806, SP500: 0.0112"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, DJIA",0.7662265971409056,0.763016893669156,1.719744406616282e-134,4405.146902338942,4433.817674275967,"const: 10.3326, PI: 0.0040, TTLCONS: 0.0001, CPIAUCSL: -0.6737, RSAFS: -0.0003, PPIACO: 1.1341, DJIA: 0.0014"
"PI, TTLCONS, CPIAUCSL, RSAFS, NASDAQCOM, REVOLSL",0.7546292330397556,0.7512602980242832,6.559236558611714e-130,4426.644547085742,4455.315319022767,"const: 13.7548, PI: 0.0068, TTLCONS: 0.0001, CPIAUCSL: 0.0487, RSAFS: -0.0003, NASDAQCOM: 0.0059, REVOLSL: 0.0557"
"PI, TTLCONS, CPIAUCSL, RSAFS, NASDAQCOM, SP500",0.7508978108831235,0.7474776435268277,1.757037040895354e-128,4433.345754368147,4462.016526305172,"const: -22.9474, PI: 0.0023, TTLCONS: 0.0001, CPIAUCSL: 0.6224, RSAFS: -0.0003, NASDAQCOM: 0.0039, SP500: 0.0072"
"PI, TTLCONS, CPIAUCSL, RSAFS, NASDAQCOM, DJIA",0.7505316635305732,0.7471064689795055,2.4195696996476074e-128,4433.997896624522,4462.668668561547,"const: -20.7089, PI: 0.0025, TTLCONS: 0.0001, CPIAUCSL: 0.5921, RSAFS: -0.0003, NASDAQCOM: 0.0041, DJIA: 0.0008"
