Variables,R-squared,Adj. R-squared,P-value,AIC,BIC
"PI, CPIAUCSL, RSAFS",0.7062535292583296,0.7042507124123637,1.2684653258759617e-116,4500.540859574812,4516.924157824541
"PI, CPIAUCSL, PPIACO",0.7093594963530576,0.7073778565554648,1.2262838471191592e-117,4495.821170615287,4512.204468865016
"PI, CPIAUCSL, NASDAQCOM",0.7179884181581404,0.7160656119183095,1.627711769275832e-120,4482.439463342205,4498.822761591934
"PI, CPIAUCSL, REVOLSL",0.7213161336472572,0.7194160163766703,1.1979797376494487e-121,4477.169140459562,4493.552438709291
"PI, CPIAUCSL, SP500",0.7124747809575698,0.7105143817368259,1.1478727357868196e-118,4491.036384190439,4507.419682440168
"PI, PCESV, RSAFS",0.7067030248396262,0.7047032727362601,9.059406150483005e-117,4499.860923265185,4516.244221514914
"PI, PCESV, PPIACO",0.7064568668039484,0.7044554363503389,1.0893807052092838e-116,4500.233406920254,4516.616705169983
"PI, PCESV, NASDAQCOM",0.7197962561494369,0.7178857760777284,3.959658640332112e-121,4479.584034832884,4495.967333082613
"PI, PCESV, REVOLSL",0.7093023818130026,0.7073203525980913,1.2804055572810726e-117,4495.908413666838,4512.291711916567
"PI, PCESV, SP500",0.7185304151094969,0.7166113043034252,1.0664401848064294e-120,4481.585320436194,4497.968618685923
"PI, RSAFS, PPIACO",0.7030010300939062,0.7009760371172737,1.4268736566446548e-115,4505.430018667124,4521.813316916853
"PI, RSAFS, NASDAQCOM",0.717801090650069,0.7158770071772286,1.8835024851338826e-120,4482.7342945016335,4499.117592751362
"PI, RSAFS, REVOLSL",0.7112499681803197,0.7092812179633674,2.921890948404552e-118,4492.923738162868,4509.307036412597
"PI, RSAFS, SP500",0.7125224904979133,0.7105624165694899,1.1067587581296064e-118,4490.962704414989,4507.346002664718
"PI, PPIACO, NASDAQCOM",0.7206306164758018,0.7187258252245006,2.0557978438137878e-121,4478.259967463222,4494.643265712951
"PI, PPIACO, REVOLSL",0.7081862550782161,0.7061966159082949,2.9726741237755943e-117,4497.609877047911,4513.99317529764
"PI, PPIACO, SP500",0.7153952062679748,0.7134547190379837,1.2171814354714474e-119,4486.503567974141,4502.88686622387
"PI, NASDAQCOM, REVOLSL",0.7344332990602946,0.732622617008433,2.991800702196127e-126,4455.7630093076195,4472.146307557348
"PI, NASDAQCOM, SP500",0.7180944458836531,0.7161723625601326,1.4985826362322779e-120,4482.27250153991,4498.655799789639
"PI, REVOLSL, SP500",0.7446549507503373,0.7429139617781805,5.35496780174062e-130,4438.335888555228,4454.719186804957
"TTLCONS, CPIAUCSL, PCESV",0.7085769419782625,0.7065899665826597,2.214435603951845e-117,4497.0150414384625,4513.398339688191
"TTLCONS, CPIAUCSL, RSAFS",0.7017236676986092,0.6996899654329178,3.6647166475568033e-115,4507.335522799113,4523.718821048842
"TTLCONS, CPIAUCSL, PPIACO",0.7128753777826431,0.7109177099038884,8.448967985759864e-119,4490.4173462777,4506.800644527429
"TTLCONS, CPIAUCSL, NASDAQCOM",0.729414800178994,0.7275699010893053,1.8329276094440772e-124,4464.075125995289,4480.458424245018
"TTLCONS, CPIAUCSL, REVOLSL",0.6909563082784933,0.688849192198574,8.890863370539137e-112,4523.080791821997,4539.464090071726
"TTLCONS, CPIAUCSL, SP500",0.7295444404206555,0.7277004252417054,1.6496665716407923e-124,4463.862349906245,4480.245648155974
"TTLCONS, PCESV, RSAFS",0.7155824718298809,0.7136432614105391,1.0532321537642532e-119,4486.211326670812,4502.594624920541
"TTLCONS, PCESV, PPIACO",0.716468174915578,0.7145350033809115,5.306293637125365e-120,4484.826511329134,4501.209809578862
"TTLCONS, PCESV, NASDAQCOM",0.7317886352080114,0.7299599213571569,2.64202423743195e-125,4460.162741834506,4476.546040084235
"TTLCONS, PCESV, REVOLSL",0.7099034849326875,0.7079255541481376,8.123790894477633e-118,4494.989362095368,4511.372660345097
"TTLCONS, PCESV, SP500",0.7382976219678586,0.7365132875721849,1.1927689902573541e-127,4449.2547949627915,4465.63809321252
"TTLCONS, RSAFS, PPIACO",0.7241059720112688,0.7222248763658912,1.312159022820435e-122,4472.70196390819,4489.085262157919
"TTLCONS, RSAFS, NASDAQCOM",0.7231956526565861,0.7213083502883355,2.706752283703635e-122,4474.164541606991,4490.54783985672
"TTLCONS, RSAFS, REVOLSL",0.6752155086031213,0.6730010688890516,4.9041183649401815e-107,4545.138354369201,4561.52165261893
"TTLCONS, RSAFS, SP500",0.7213074452911523,0.7194072687817739,1.2062173421005285e-121,4477.182982559676,4493.566280809405
"TTLCONS, PPIACO, NASDAQCOM",0.7389201182620433,0.7371400281592845,7.066439724757189e-128,4448.19741981251,4464.580718062239
"TTLCONS, PPIACO, REVOLSL",0.7068950532493792,0.7048966104306249,7.84481037037126e-117,4499.570130845201,4515.95342909493
"TTLCONS, PPIACO, SP500",0.740550192110341,0.738781216147457,1.783464204390929e-128,4445.416578800137,4461.799877049866
"TTLCONS, NASDAQCOM, REVOLSL",0.7348610652959879,0.7330532998320969,2.0991032206839764e-126,4455.047251881946,4471.430550131675
"TTLCONS, NASDAQCOM, SP500",0.727889269942968,0.7260339695107609,6.307422477290802e-124,4466.571320168047,4482.954618417776
"TTLCONS, REVOLSL, SP500",0.7461812153374572,0.744450632714758,1.4334706873442331e-130,4435.674020365552,4452.057318615281
"CPIAUCSL, PCESV, RSAFS",0.6803578693824621,0.6781784912191607,1.4700051665066916e-108,4538.0521894840185,4554.435487733747
"CPIAUCSL, PCESV, PPIACO",0.6795426077450516,0.6773576709796769,2.573008725506522e-108,4539.183189741967,4555.566487991696
"CPIAUCSL, PCESV, NASDAQCOM",0.7158853121924901,0.7139481665938026,8.333503336145735e-120,4485.738315186372,4502.121613436101
"CPIAUCSL, PCESV, REVOLSL",0.6791302487578694,0.6769425004539458,3.413317256821025e-108,4539.754153928952,4556.137452178681
"CPIAUCSL, PCESV, SP500",0.7178008905921966,0.7158768057553253,1.8837960047285502e-120,4482.734609264238,4499.117907513967
"CPIAUCSL, RSAFS, PPIACO",0.6685181808792884,0.6662580775671016,4.350964369852341e-105,4554.200884924945,4570.584183174674
"CPIAUCSL, RSAFS, NASDAQCOM",0.7140368784832295,0.7120871299274334,3.466292844442283e-119,4488.617597381236,4505.000895630965
"CPIAUCSL, RSAFS, REVOLSL",0.6675121998945446,0.6652452376210982,8.468001687853171e-105,4555.546295576467,4571.929593826196
"CPIAUCSL, RSAFS, SP500",0.7100352425266199,0.7080582100893014,7.35180326418966e-118,4494.7876579807125,4511.170956230441
"CPIAUCSL, PPIACO, NASDAQCOM",0.7165353525823955,0.7146026390772755,5.036991788757107e-120,4484.721301206485,4501.104599456214
